tracker,sequence,frame,gt_id,old_pred_id,new_pred_id,heuristic_type,reviewed_type,review_status,reviewer,notes
sort,v_1yHWGw8DH4A_c029,13,3,8,9,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,32,3,9,8,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,36,11,3,15,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,84,14,20,25,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,96,15,26,27,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,170,14,25,41,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,177,14,41,25,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,178,13,13,45,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,179,3,8,48,association_error,,draft,,continuous match changed id without a nearby GT crowding cue
sort,v_1yHWGw8DH4A_c029,181,8,47,46,appearance_confusion,,draft,,1 nearby GT object(s) at switch frame
sort,v_1yHWGw8DH4A_c029,182,7,40,50,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,186,4,4,51,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,190,16,30,52,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,192,8,46,53,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,202,9,39,54,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,204,11,15,55,fragmentation,,draft,,short detection/tracking gap of 1 frame(s) before a new id
sort,v_1yHWGw8DH4A_c029,211,1,1,49,re_identification_failure,,draft,,GT was unmatched for 31 frame(s) before receiving a new id
